Title,nombre_jornada,Recintos,Date,Status
"Álvares Jara &#8211; Álvarez Velez vs Valenzuela Niedbalski - Garcia","Fecha 7","Conecta Santa Blanca>Cancha 6",08-05-26,future
"Vogel &#8211; Silva vs Vera - Viel","Fecha 7","Conecta Santa Blanca>Cancha 7",08-05-26,future
"Amaro Castro &#8211; Arance Ibieta vs Vidal - Benítez","Fecha 7","Conecta Santa Blanca>Cancha 8",08-05-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Vargas - Diaz","Fecha 7","Conecta Santa Blanca>Cancha 9",08-05-26,future
"Romero &#8211; Merino vs Sfeir - Amigo","Fecha 7","Conecta Santa Blanca>Cancha 10",08-05-26,future
"Ponce &#8211; Unda vs Hurtado Sotomayor - Martínez Cuadro","Fecha 7","Conecta Santa Blanca>Cancha 11",08-05-26,future
"Sica &#8211; Pizarro vs Freyre - Brosky","Fecha 7","Conecta Santa Blanca>Cancha 12",08-05-26,future
"Martiz &#8211; Kattan vs Botero Piedrahita - Verástegui","Fecha 7","Conecta Santa Blanca>Cancha 13",08-05-26,future
"Giusti &#8211; Rivera vs Valenzuela Niedbalski - Garcia","Fecha 8","Conecta Santa Blanca>Cancha 5",15-05-26,future
"Eyzaguirre &#8211; Casasempere vs Vera - Viel","Fecha 8","Conecta Santa Blanca>Cancha 6",15-05-26,future
"Álvares Jara &#8211; Álvarez Velez vs Vidal - Benítez","Fecha 8","Conecta Santa Blanca>Cancha 7",15-05-26,future
"Vogel &#8211; Silva vs Vargas - Diaz","Fecha 8","Conecta Santa Blanca>Cancha 8",15-05-26,future
"Amaro Castro &#8211; Arance Ibieta vs Sfeir - Amigo","Fecha 8","Conecta Santa Blanca>Cancha 9",15-05-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Hurtado Sotomayor - Martínez Cuadro","Fecha 8","Conecta Santa Blanca>Cancha 10",15-05-26,future
"Romero &#8211; Merino vs Freyre - Brosky","Fecha 8","Conecta Santa Blanca>Cancha 11",15-05-26,future
"Ponce &#8211; Unda vs Botero Piedrahita - Verástegui","Fecha 8","Conecta Santa Blanca>Cancha 12",15-05-26,future
"Sica &#8211; Pizarro vs Martiz - Kattan","Fecha 8","Conecta Santa Blanca>Cancha 13",15-05-26,future
"Romero Duarte &#8211; Valenzuela vs Vera - Viel","Fecha 9","Conecta Santa Blanca>Cancha 5",29-05-26,future
"Giusti &#8211; Rivera vs Vidal - Benítez","Fecha 9","Conecta Santa Blanca>Cancha 6",29-05-26,future
"Eyzaguirre &#8211; Casasempere vs Vargas - Diaz","Fecha 9","Conecta Santa Blanca>Cancha 7",29-05-26,future
"Álvares Jara &#8211; Álvarez Velez vs Sfeir - Amigo","Fecha 9","Conecta Santa Blanca>Cancha 8",29-05-26,future
"Vogel &#8211; Silva vs Hurtado Sotomayor - Martínez Cuadro","Fecha 9","Conecta Santa Blanca>Cancha 9",29-05-26,future
"Amaro Castro &#8211; Arance Ibieta vs Freyre - Brosky","Fecha 9","Conecta Santa Blanca>Cancha 10",29-05-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Botero Piedrahita - Verástegui","Fecha 9","Conecta Santa Blanca>Cancha 11",29-05-26,future
"Romero &#8211; Merino vs Martiz - Kattan","Fecha 9","Conecta Santa Blanca>Cancha 12",29-05-26,future
"Ponce &#8211; Unda vs Sica - Pizarro","Fecha 9","Conecta Santa Blanca>Cancha 13",29-05-26,future
"Valenzuela Niedbalski &#8211; Garcia vs Vidal - Benítez","Fecha 10","Conecta Santa Blanca>Cancha 5",05-06-26,future
"Romero Duarte &#8211; Valenzuela vs Vargas - Diaz","Fecha 10","Conecta Santa Blanca>Cancha 6",05-06-26,future
"Giusti &#8211; Rivera vs Sfeir - Amigo","Fecha 10","Conecta Santa Blanca>Cancha 7",05-06-26,future
"Eyzaguirre &#8211; Casasempere vs Hurtado Sotomayor - Martínez Cuadro","Fecha 10","Conecta Santa Blanca>Cancha 8",05-06-26,future
"Álvares Jara &#8211; Álvarez Velez vs Freyre - Brosky","Fecha 10","Conecta Santa Blanca>Cancha 9",05-06-26,future
"Vogel &#8211; Silva vs Botero Piedrahita - Verástegui","Fecha 10","Conecta Santa Blanca>Cancha 10",05-06-26,future
"Amaro Castro &#8211; Arance Ibieta vs Martiz - Kattan","Fecha 10","Conecta Santa Blanca>Cancha 11",05-06-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Sica - Pizarro","Fecha 10","Conecta Santa Blanca>Cancha 12",05-06-26,future
"Romero &#8211; Merino vs Ponce - Unda","Fecha 10","Conecta Santa Blanca>Cancha 13",05-06-26,future
"Vera &#8211; Viel vs Vargas - Diaz","Fecha 11","Conecta Santa Blanca>Cancha 5",12-06-26,future
"Valenzuela Niedbalski &#8211; Garcia vs Sfeir - Amigo","Fecha 11","Conecta Santa Blanca>Cancha 6",12-06-26,future
"Romero Duarte &#8211; Valenzuela vs Hurtado Sotomayor - Martínez Cuadro","Fecha 11","Conecta Santa Blanca>Cancha 7",12-06-26,future
"Giusti &#8211; Rivera vs Freyre - Brosky","Fecha 11","Conecta Santa Blanca>Cancha 8",12-06-26,future
"Eyzaguirre &#8211; Casasempere vs Botero Piedrahita - Verástegui","Fecha 11","Conecta Santa Blanca>Cancha 9",12-06-26,future
"Álvares Jara &#8211; Álvarez Velez vs Martiz - Kattan","Fecha 11","Conecta Santa Blanca>Cancha 10",12-06-26,future
"Vogel &#8211; Silva vs Sica - Pizarro","Fecha 11","Conecta Santa Blanca>Cancha 11",12-06-26,future
"Amaro Castro &#8211; Arance Ibieta vs Ponce - Unda","Fecha 11","Conecta Santa Blanca>Cancha 12",12-06-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Romero - Merino","Fecha 11","Conecta Santa Blanca>Cancha 13",12-06-26,future
"Vidal &#8211; Benítez vs Sfeir - Amigo","Fecha 12","Conecta Santa Blanca>Cancha 5",19-06-26,future
"Vera &#8211; Viel vs Hurtado Sotomayor - Martínez Cuadro","Fecha 12","Conecta Santa Blanca>Cancha 6",19-06-26,future
"Valenzuela Niedbalski &#8211; Garcia vs Freyre - Brosky","Fecha 12","Conecta Santa Blanca>Cancha 7",19-06-26,future
"Romero Duarte &#8211; Valenzuela vs Botero Piedrahita - Verástegui","Fecha 12","Conecta Santa Blanca>Cancha 8",19-06-26,future
"Giusti &#8211; Rivera vs Martiz - Kattan","Fecha 12","Conecta Santa Blanca>Cancha 9",19-06-26,future
"Eyzaguirre &#8211; Casasempere vs Sica - Pizarro","Fecha 12","Conecta Santa Blanca>Cancha 10",19-06-26,future
